post_date,ticker,open,high,low,close,vol,comment_num_sum,comp_max,comp_mean,comp_median,comp_min,comp_std,like_num_sum,neg_max,neg_mean,neg_median,neg_min,neg_std,neu_max,neu_mean,neu_median,neu_min,neu_std,count,pos_max,pos_mean,pos_median,pos_min,pos_std,retweet_num_sum,relative_count,diffs,bin_2,bin_3
2015-01-02 18:00:00,TSLA,43.762,43.8,42.652,43.18,1236171.0,0.0,0.442575,-0.007148,0.0,-0.8125950000000001,0.32400247893599,11.0,0.3255,0.0399,0.0,0.0,0.1029737830712264,1.1,0.991,1.025,0.7244999999999999,0.1193549794148158,10.0,0.1365,0.0241,0.0,0.0,0.0513640600679762,2.0,0.0806451612903225,-1.3704888076747412,-1,-1
2015-01-02 19:00:00,TSLA,43.18,43.188,42.784,43.108,430534.0,0.0,0.5574,0.001655,0.0,-0.6486,0.4291242439800256,2.0,0.323,0.1033125,0.045675,0.0,0.1275014082555281,1.0,0.80728125,0.7875,0.6279,0.1362846808745261,8.0,0.248,0.10190625,0.06615,0.0,0.1148056881290544,0.0,0.1025641025641025,-0.16674386289949883,-1,0
2015-01-02 20:00:00,TSLA,43.1,43.37,43.0,43.166000000000004,410296.0,14.0,0.862785,0.1319475,0.0,-0.3108,0.3147948122294567,19.0,0.204,0.03615,0.0,0.0,0.0617077620298843,3.05,1.1236275,1.0,0.6791999999999999,0.5542395414759996,20.0,0.3234,0.0827225,0.0,0.0,0.1256885692526948,3.0,0.2272727272727272,0.1345457919643911,1,0
2015-01-02 21:00:00,TSLA,43.1866,43.3332,43.058,43.194,280002.0,1.0,0.6705,0.1830959999999999,0.0,-0.6369,0.3486262029698038,5.0,0.483,0.0385999999999999,0.0,0.0,0.1254009569341478,1.2,0.8829033333333334,0.9053,0.517,0.1801985437418035,15.0,0.33075,0.1084966666666666,0.0,0.0,0.1273108547536118,0.0,0.1041666666666666,0.06486586665430671,1,0
2015-01-02 22:00:00,TSLA,43.192,43.656,43.192,43.616,332427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.9769875445663656,1,1
2015-01-02 23:00:00,TSLA,43.61808,44.0,43.417,43.838,646863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175438596491228,0.5089875275128497,1,1
2015-01-05 17:00:00,TSLA,42.910000000000004,43.3,42.239999999999995,42.634,977685.0,2.0,0.92715,0.2709369565217391,0.3108,-0.24893,0.3079245591409272,24.0,0.0913,0.0065717391304347,0.0,0.0,0.0222837018819857,7.800000000000001,1.248863043478261,1.0,0.5596500000000001,1.433883468323429,23.0,0.4305,0.0967391304347826,0.09555,0.0,0.1144326359564296,6.0,0.1059907834101382,-2.746475660385972,-1,-1
2015-01-05 18:00:00,TSLA,42.6,42.677980000000005,42.08,42.083999999999996,898243.0,2.0,0.73568,0.082053064516129,0.0,-1.727,0.4382713468972493,34.0,0.5425,0.0265435483870967,0.0,0.0,0.1019424533269755,2.2,1.055083870967742,1.0,0.8008000000000001,0.2970815363350317,31.0,0.2992,0.0619209677419354,0.0,0.0,0.0904218408112715,4.0,0.2,-1.2900501946803145,-1,-1
2015-01-05 19:00:00,TSLA,42.1,42.42,41.954,42.0345,624505.0,1.0,0.8519,0.2092702083333333,0.1591,-0.66888,0.392043054042258,10.0,0.348,0.0417958333333333,0.0,0.0,0.0992289862944013,1.1,0.8848625,0.8702,0.652,0.1264904114341581,24.0,0.341,0.1025083333333333,0.063,0.0,0.1184388740408231,2.0,0.1325966850828729,-0.11762189905901721,-1,0
2015-01-05 20:00:00,TSLA,42.049,42.095119999999994,41.43252,41.495999999999995,558976.0,2.0,0.6791400000000001,0.2312103846153846,0.2732,-0.518595,0.3378040703293697,12.0,0.2496,0.0506615384615384,0.0,0.0,0.0897702371656064,1.15,0.9017076923076924,0.9009,0.6228,0.1419364629657607,13.0,0.3288,0.12455,0.1463,0.0,0.1171228806282814,1.0,0.0878378378378378,-1.281090532776663,-1,-1
