,body
70,"{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.2023}"
71,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
72,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}"
73,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.4995}"
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}"
78,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.7531}"
79,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5859}"
80,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.1779}"
81,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}"
82,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.8176}"
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8885}"
85,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.6514}"
87,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
89,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,"{'neg': 0.066, 'neu': 0.818, 'pos': 0.116, 'compound': 0.3736}"
94,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.6597}"
95,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.5423}"
99,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.7034}"
100,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2732}"
101,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.2023}"
103,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
105,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}"
106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
108,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
109,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.3818}"
110,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}"
111,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5106}"
112,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}"
113,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}"
114,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
115,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}"
116,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
117,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
118,"{'neg': 0.147, 'neu': 0.797, 'pos': 0.056, 'compound': -0.4471}"
119,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.34}"
120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
121,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
122,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.3802}"
123,"{'neg': 0.094, 'neu': 0.716, 'pos': 0.19, 'compound': 0.3974}"
124,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.3412}"
125,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}"
126,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
127,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
128,"{'neg': 0.115, 'neu': 0.755, 'pos': 0.13, 'compound': 0.1967}"
129,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
130,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
131,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.431}"
132,"{'neg': 0.0, 'neu': 0.288, 'pos': 0.712, 'compound': 0.8143}"
133,"{'neg': 0.097, 'neu': 0.573, 'pos': 0.33, 'compound': 0.6486}"
134,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}"
