post_date,ticker,open,high,low,close,vol,comment_num_sum,comp_max,comp_mean,comp_median,comp_min,comp_std,like_num_sum,neg_max,neg_mean,neg_median,neg_min,neg_std,neu_max,neu_mean,neu_median,neu_min,neu_std,count,pos_max,pos_mean,pos_median,pos_min,pos_std,retweet_num_sum,relative_count
2015-01-02 17:00:00,GOOGL,532.6,535.8,531.545,534.405,129727.0,0.0,0.4588,-0.0406631578947368,0.0,-0.5106,0.2651575364246828,3.0,0.583,0.0857894736842105,0.0,0.0,0.1674649478903863,1.05,0.8966842105263158,1.0,0.417,0.1715378327663476,19.0,0.19,0.0254210526315789,0.0,0.0,0.0614847007071892,0.0,0.1079545454545454
2015-01-02 18:00:00,GOOGL,534.5,535.11,530.0,530.415,205501.0,0.0,0.25,0.0625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95825,1.0,0.833,0.0835,4.0,0.167,0.04175,0.0,0.0,0.0835,0.0,0.032258064516129
2015-01-02 19:00:00,GOOGL,530.63,531.17,529.0,530.68,103489.0,0.0,0.4926,0.12256,0.0,-0.275,0.3159739039857563,2.0,0.121,0.0472999999999999,0.0,0.0,0.0647973764901018,1.0,0.8983000000000001,0.9845000000000002,0.665,0.1463854500966541,5.0,0.213,0.0742,0.0,0.0,0.1034466045842008,0.0,0.0641025641025641
2015-01-02 20:00:00,GOOGL,530.71,531.64,528.2,528.31,72824.0,0.0,-0.6688,-0.6688,-0.6688,-0.6688,0.0,0.0,0.13,0.13,0.13,0.13,0.0,0.87,0.87,0.87,0.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113636363636363
2015-01-02 21:00:00,GOOGL,528.46,529.37,527.88,528.66,73833.0,1.0,0.6561450000000001,0.3368095833333333,0.421285,0.0,0.2669930289901893,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9892958333333332,0.833,0.78225,0.3420943785634266,12.0,0.26775,0.1273708333333333,0.178,0.0,0.0975724450165883,4.0,0.0833333333333333
2015-01-02 22:00:00,GOOGL,528.75,529.47,528.42,528.62,74779.0,0.0,0.58401,0.324975,0.481635,-0.4767,0.3819026040759607,14.0,0.221,0.041275,0.0,0.0,0.0820597648059022,4.35,1.25195,0.85785,0.674,1.2535250929165431,8.0,0.2,0.156775,0.19215,0.0,0.0704076345292185,3.0,0.123076923076923
2015-01-02 23:00:00,GOOGL,528.6,530.14,528.42,529.55,167211.0,0.0,0.802,0.4324,0.5562,0.0,0.3087203265092857,1.0,0.0,0.0,0.0,0.0,0.0,1.05,0.8517142857142856,0.817,0.644,0.1349514904026805,7.0,0.356,0.1554285714285714,0.183,0.0,0.1235487179791264,0.0,0.1228070175438596
2015-01-05 17:00:00,GOOGL,527.01,527.9899,523.35,523.99,185385.0,0.0,0.8415,0.1739764705882353,0.0,-0.5106,0.340334318225131,6.0,0.248,0.0145882352941176,0.0,0.0,0.0601488350090105,1.1,0.9249411764705884,1.0,0.635,0.1394791519314962,17.0,0.365,0.0781176470588235,0.0,0.0,0.1164049410210651,0.0,0.0783410138248847
2015-01-05 18:00:00,GOOGL,523.73,524.4,521.03,521.62,219807.0,1.0,0.796125,0.3880545833333333,0.44725,0.0,0.2630022762039274,4.0,0.0,0.0,0.0,0.0,0.0,1.0325,0.8997541666666667,0.85785,0.787,0.0827869073375443,12.0,0.2174999999999999,0.1335791666666666,0.154,0.0,0.0843452818595663,0.0,0.0774193548387096
2015-01-05 19:00:00,GOOGL,521.73,523.15,519.3175,522.82,172439.0,1.0,0.84399,0.2378655882352941,0.0,-0.52304,0.4104339016359788,8.0,0.3024,0.0319382352941176,0.0,0.0,0.0807231757486112,2.2568,1.0110088235294117,1.0,0.635,0.3904962988922295,17.0,0.4851,0.1364647058823529,0.132,0.0,0.1570334715163317,5.0,0.0939226519337016
