date_,ticker,close,diffs,bin_2,bin_3,bin_5,high,vol,max_pos,min_neu,std_neg,std_neu,std_pos,mean_comp,mean_neg,mean_pos,count
2015-01-02 18:00:00,GOOG,526.9,-0.6448936491175283,-1,-1,-1,530.6963,275822.0,0.202,0.675,0.0985066350194602,0.1064910682594912,0.0725974550255756,0.0565714285714285,0.0435714285714285,0.0520952380952381,21.0
2015-01-02 19:00:00,GOOG,526.87,-0.005693680015173,-1,0,0,527.26,89275.0,0.24,0.624,0.0544634990362603,0.1160605641269011,0.0830347134418108,0.0422727272727272,0.0314545454545454,0.0421818181818181,11.0
2015-01-02 20:00:00,GOOG,524.61,-0.4289483174217512,-1,-1,-1,527.66,66988.0,0.216,0.751,0.0697239796148594,0.0862325022508592,0.0943883820534427,0.18931,0.0411,0.1045,10.0
2015-01-02 21:00:00,GOOG,524.63,0.0038123558453007,1,0,0,525.71,70652.0,0.302,0.568,0.0818674004984146,0.1081575266669529,0.1000883747426277,0.2950233333333333,0.0189333333333333,0.1282,30.0
2015-01-02 22:00:00,GOOG,524.5,-0.0247793683167185,-1,0,0,525.23,91008.0,0.204,0.674,0.056249938271571,0.104524835213793,0.0896769073531101,0.3107222222222222,0.0180555555555555,0.1337777777777777,18.0
2015-01-02 23:00:00,GOOG,524.81,0.0591039084842703,1,0,0,525.74,221116.0,0.444,0.556,0.0,0.1313513240499323,0.1313513240499323,0.4257642857142857,0.0,0.1713571428571428,14.0
2015-01-05 17:00:00,GOOG,520.81,-0.7621805986928631,-1,-1,-2,524.33,225959.0,0.335,0.665,0.0696946103344973,0.1100849378815607,0.1046422476822817,0.17255625,0.025125,0.089,32.0
2015-01-05 18:00:00,GOOG,518.38,-0.4665809028244316,-1,-1,-1,520.91,204616.0,0.325,0.675,0.0254034118443435,0.1040471759098478,0.106711221997899,0.2867555555555555,0.0048888888888888,0.1188518518518518,27.0
2015-01-05 19:00:00,GOOG,519.57,0.2295613256684481,1,0,0,519.87,179585.0,0.362,0.638,0.0392788188436986,0.1166839331009305,0.1157041907456145,0.1884853658536585,0.0142195121951219,0.0938780487804878,41.0
2015-01-05 20:00:00,GOOG,516.72,-0.5485305156186837,-1,-1,-1,519.99,126337.0,0.483,0.517,0.0926774535127632,0.1370010980459677,0.1326461947701968,0.23055,0.0344090909090909,0.1281818181818181,22.0
2015-01-05 21:00:00,GOOG,515.5,-0.2361046601641159,-1,0,0,517.34,101330.0,0.335,0.665,0.0433641247095794,0.1114988403430701,0.1089140235053734,0.2328967741935484,0.0182258064516129,0.108258064516129,31.0
2015-01-05 22:00:00,GOOG,514.205,-0.2512124151309303,-1,-1,-1,515.91,183869.0,0.335,0.665,0.0287556757682529,0.1258037687642708,0.1185491404136295,0.3106833333333333,0.0067777777777777,0.1236111111111111,18.0
2015-01-05 23:00:00,GOOG,513.87,-0.0651491136803517,-1,0,0,515.4987,346407.0,0.335,0.665,0.014173667737846,0.1056554247687679,0.1074694185614025,0.2760321428571429,0.0026785714285714,0.10575,28.0
2015-01-06 17:00:00,GOOG,510.38,-0.6791600988576896,-1,-1,-1,516.175,184533.0,0.515,0.485,0.0677585235111975,0.134110442451029,0.1378693496603127,0.2353963636363636,0.022490909090909,0.1225272727272727,55.0
2015-01-06 18:00:00,GOOG,505.21,-1.0129707276930966,-1,-1,-2,511.6799,268375.0,0.335,0.64,0.0645931851660256,0.1254459228906722,0.109099628928141,0.2619677419354839,0.0257096774193548,0.1289354838709677,31.0
2015-01-06 19:00:00,GOOG,504.36,-0.1682468676391879,-1,0,0,506.92,239611.0,0.335,0.665,0.0295304144595239,0.1057540908480255,0.107000549751199,0.3404685714285714,0.0071142857142857,0.147,35.0
2015-01-06 20:00:00,GOOG,504.915,0.1100404472995419,1,0,0,504.99,221531.0,0.402,0.598,0.052140362045121,0.1149123359357617,0.1189653475252627,0.2085131578947368,0.0163684210526315,0.1090526315789473,38.0
2015-01-06 21:00:00,GOOG,504.15,-0.1515106503074847,-1,0,0,504.915,226018.0,0.495,0.505,0.0506896745007869,0.1262129345052057,0.1268648881990304,0.2309,0.0125526315789473,0.1060526315789473,38.0
2015-01-06 22:00:00,GOOG,504.15,0.0,-1,0,0,505.48,379167.0,0.335,0.654,0.0529273461289527,0.1182509706661727,0.1139116895488475,0.2024305555555555,0.0181944444444444,0.0931111111111111,36.0
2015-01-06 23:00:00,GOOG,501.61,-0.5038183080432357,-1,-1,-1,506.31,518463.0,0.234,0.638,0.0342094389647903,0.12293266270784,0.106502437675244,0.2662214285714285,0.0091428571428571,0.102,14.0
2015-01-07 17:00:00,GOOG,504.48,0.5721576523594063,1,1,1,507.244,211843.0,0.389,0.417,0.0722666076762567,0.1359017251971608,0.1189201841744353,0.1367714285714285,0.034469387755102,0.0888979591836734,49.0
2015-01-07 18:00:00,GOOG,500.47,-0.7948778940691348,-1,-1,-2,505.22,290136.0,0.335,0.571,0.1501127575600072,0.1401510187882196,0.1119783334539346,0.0182645833333333,0.0918958333333333,0.0822083333333333,48.0
