date_,ticker,close,diffs,bin_2,bin_3,bin_5,vol,max_pos,min_neu,std_neg,std_pos,mean_comp,mean_neg,mean_pos,count
2015-01-02 18:00:00,MSFT,46.955,-0.6705872398036883,-1,-1,-1,4476440.0,0.143,0.696,0.0965574095206232,0.067539494618581,-0.19595,0.118,0.0497499999999999,4.0
2015-01-02 19:00:00,MSFT,46.715,-0.51112767543392,-1,-1,-1,2845623.0,0.24,0.624,0.089240979269349,0.0885464634554999,0.1184857142857142,0.0504285714285714,0.0798571428571428,7.0
2015-01-02 20:00:00,MSFT,46.63,-0.181954404366913,-1,0,0,1795733.0,0.694,0.306,0.092,0.3363632708843223,0.0548499999999999,0.046,0.1922499999999999,4.0
2015-01-02 21:00:00,MSFT,46.65,0.0428908428050434,1,0,0,2320977.0,0.694,0.306,0.1419862669415602,0.297552684410677,0.28852,0.0449,0.2826,10.0
2015-01-02 22:00:00,MSFT,46.716,0.1414790996784543,1,0,0,2073532.0,0.694,0.306,0.0597805963249756,0.2691063775242839,0.4652083333333333,0.0255833333333333,0.3573333333333333,12.0
2015-01-02 23:00:00,MSFT,46.75,0.0727802037845615,1,0,0,5793005.0,0.694,0.306,0.0157501322745768,0.338125434600548,0.4439733333333333,0.0040666666666666,0.4303333333333333,15.0
2015-01-05 17:00:00,MSFT,46.45,-0.6417112299465177,-1,-1,-1,4627902.0,0.383,0.617,0.0,0.1528404864089168,0.3908,0.0,0.16375,8.0
2015-01-05 19:00:00,MSFT,46.38,-0.1506996770721191,-1,0,0,3378260.0,0.329,0.583,0.0532178809907239,0.1396101715492105,0.2533857142857142,0.0548571428571428,0.107,7.0
2015-01-05 20:00:00,MSFT,46.36,-0.0431220353600769,-1,0,0,3376918.0,0.194,0.757,0.0658147653139729,0.0890037452395497,0.16675,0.0567499999999999,0.1245,4.0
2015-01-05 21:00:00,MSFT,46.4,0.0862812769629073,1,0,0,2536030.0,0.13,0.848,0.0490493721579686,0.0375277674973256,-0.0241166666666666,0.02025,0.0108333333333333,12.0
2015-01-05 22:00:00,MSFT,46.385,-0.0323275862068928,-1,0,0,3652621.0,0.435,0.565,0.0,0.1968992127968012,0.27896,0.0,0.1344,5.0
2015-01-06 17:00:00,MSFT,46.54,0.3341597499191495,1,1,1,2973284.0,0.521,0.479,0.0488963919206432,0.1969087896173541,0.3526749999999999,0.026,0.20625,8.0
2015-01-06 18:00:00,MSFT,46.389,-0.3244520842286102,-1,-1,-1,4934179.0,0.278,0.507,0.1288221365183129,0.1021758521467022,0.0218285714285714,0.0918571428571428,0.1307142857142857,7.0
2015-01-06 19:00:00,MSFT,46.185,-0.4397594257259274,-1,-1,-1,3446883.0,0.275,0.575,0.0670820393249937,0.1223919932021699,0.19592,0.03,0.0814,5.0
2015-01-06 20:00:00,MSFT,46.17,-0.0324780772978261,-1,0,0,4321014.0,0.139,0.861,0.0,0.067074585350936,0.11435,0.0,0.0535,4.0
2015-01-06 23:00:00,MSFT,45.6,-1.2345679012345734,-1,-1,-2,7646508.0,0.12,0.661,0.1548563850798539,0.0848528137423857,-0.1175,0.1095,0.06,2.0
2015-01-07 18:00:00,MSFT,45.85,0.5482456140350811,1,1,1,3735696.0,0.0,0.909,0.0525388744962559,0.0,-0.0342333333333333,0.0303333333333333,0.0,3.0
2015-01-07 19:00:00,MSFT,46.29,0.9596510359869193,1,1,2,3730160.0,0.258,0.633,0.1029166618469249,0.1044501760923086,0.141475,0.0698749999999999,0.115125,8.0
2015-01-07 20:00:00,MSFT,46.4,0.237632317995251,1,0,0,3481250.0,0.217,0.714,0.1152601011152207,0.0898447145205143,0.0303818181818181,0.0629090909090909,0.0744545454545454,11.0
2015-01-07 21:00:00,MSFT,46.3224,-0.1672413793103344,-1,0,0,2680461.0,0.398,0.602,0.0,0.2126834502259167,0.3376,0.0,0.18275,4.0
2015-01-07 22:00:00,MSFT,46.1237,-0.4289501407526375,-1,-1,-1,2808856.0,0.145,0.769,0.1033063405604902,0.0648459713474939,-0.06068,0.0462,0.0289999999999999,5.0
2015-01-08 17:00:00,MSFT,47.37,2.702081576282911,1,1,2,3728324.0,0.237,0.763,0.0798084102895251,0.1021450453723412,0.1386705882352941,0.0355882352941176,0.0898823529411764,17.0
2015-01-08 18:00:00,MSFT,47.63,0.5488705932024551,1,1,1,4648760.0,0.2,0.8,0.0,0.0857713368335962,0.12822,0.0,0.0515,10.0
2015-01-08 20:00:00,MSFT,47.53,-0.2099517111064486,-1,0,0,1909883.0,0.694,0.306,0.1042863502916026,0.2275920143590279,0.1402375,0.07325,0.170875,8.0
2015-01-08 21:00:00,MSFT,47.599,0.1451714706500961,1,0,0,2334166.0,0.308,0.692,0.0,0.1310991309767427,0.29225,0.0,0.111875,8.0
2015-01-08 23:00:00,MSFT,47.59,-0.0189079602512465,-1,0,0,5740848.0,0.225,0.775,0.0440908153700972,0.1080610938312212,0.1714833333333333,0.018,0.088,6.0
2015-01-09 17:00:00,MSFT,47.66,0.1470897247320746,1,0,0,2960864.0,0.236,0.65,0.142886901662352,0.1176034296552046,0.0818999999999999,0.0583333333333333,0.0758333333333333,6.0
2015-01-09 18:00:00,MSFT,47.35,-0.6504406210658731,-1,-1,-1,3669560.0,0.172,0.828,0.0,0.0873372772646365,0.15112,0.0,0.0633999999999999,5.0
2015-01-09 19:00:00,MSFT,47.135,-0.454065469904974,-1,-1,-1,3359276.0,0.187,0.813,0.0,0.0815092019345055,0.1630777777777777,0.0,0.0676666666666666,9.0
2015-01-09 20:00:00,MSFT,47.21,0.1591174286623697,1,0,0,2541234.0,0.0,0.818,0.1286934341759516,0.0,-0.125,0.091,0.0,2.0
