date_,ticker,close,diffs,bin_2,bin_3,bin_5,high,vol,max_comp,max_neg,max_pos,std_comp,std_neg,std_pos,mean_comp,mean_neg,mean_neu,mean_pos,median_comp,count
2015-01-02 18:00:00,AAPL,27.07125,-1.109589041095893,-1,-1,-2,27.4275,12628997.0,0.8519,0.355,0.483,0.3009150163457687,0.0668042908777427,0.1254507414533175,0.116525352112676,0.0257605633802816,0.892887323943662,0.0813521126760563,0.0,71.0
2015-01-02 19:00:00,AAPL,27.194025,0.4535254190331184,1,1,1,27.1975,6291776.0,0.8217,0.343,0.423,0.411012664252287,0.1247650446789004,0.1025010818742119,-0.0975063829787234,0.0933404255319149,0.8582127659574468,0.0484680851063829,0.0,47.0
2015-01-02 20:00:00,AAPL,27.33875,0.5321941124934559,1,1,1,27.3975,5049924.0,0.9041,0.462,0.465,0.397301212831835,0.0910577752384306,0.1299378795772026,0.1703294117647058,0.0406274509803921,0.8345686274509805,0.1247843137254901,0.0772,51.0
2015-01-02 21:00:00,AAPL,27.2475,-0.3337753189154635,-1,-1,-1,27.3675,3663606.0,0.8885,0.326,0.494,0.2851042716116826,0.0692100134728514,0.1152197922507925,0.1159131578947368,0.0319736842105263,0.8882236842105262,0.0798026315789473,0.0,76.0
2015-01-02 22:00:00,AAPL,27.27,0.0825763831544312,1,0,0,27.345,3071880.0,0.6588,0.326,0.333,0.3613205205342478,0.0850658062787243,0.1105383016380849,0.0753451612903225,0.0414838709677419,0.8843870967741936,0.0741290322580645,0.0,31.0
2015-01-02 23:00:00,AAPL,27.325,0.201686835350201,1,0,0,27.381,6452430.0,0.8065,0.315,0.327,0.364230873932581,0.0880292351725226,0.1156797405406041,0.1877043478260869,0.0413478260869565,0.8562608695652173,0.1024347826086956,0.0,23.0
2015-01-05 17:00:00,AAPL,26.89365,-1.5785910338517728,-1,-1,-2,27.1625,7957798.0,0.9491,0.412,0.526,0.3434939631874454,0.0930688253497565,0.134615740727224,0.1046579710144927,0.0515869565217391,0.8502028985507246,0.0982173913043478,0.0,138.0
2015-01-05 18:00:00,AAPL,26.855,-0.1437142225023446,-1,0,0,27.0475,7674767.0,0.7184,0.349,0.335,0.3276902353887045,0.082576553682296,0.0937824448300685,0.0969168831168831,0.0388571428571428,0.8905974025974025,0.0705324675324675,0.0,77.0
2015-01-05 19:00:00,AAPL,26.718325,-0.5089368832619678,-1,-1,-1,26.8825,8600950.0,0.8519,0.348,0.594,0.3462986819549905,0.0760006172684172,0.1397549790048376,0.1397574712643678,0.036103448275862,0.8650574712643678,0.0988505747126436,0.0,87.0
2015-01-05 20:00:00,AAPL,26.66875,-0.1855468110369962,-1,0,0,26.745,5008046.0,0.765,0.305,0.423,0.2936375049468366,0.0798094990608942,0.1075784475088809,0.0825104166666666,0.0400416666666666,0.8837812500000001,0.0761875,0.0,96.0
