post_date,ticker,open,high,low,close,vol,comment_num_sum,comp_max,comp_mean,comp_median,comp_min,comp_std,is_negative_sum,is_neutral_sum,is_positive_sum,like_num_sum,neg_max,neg_mean,neg_median,neg_min,neg_std,neu_max,neu_mean,neu_median,neu_min,neu_std,count,pos_max,pos_mean,pos_median,pos_min,pos_std,retweet_num_sum,relative_count,diffs,bin_2,bin_3
2015-01-02 18:00:00,TSLA,218.81,219.0,213.26,215.9,1236171.0,0.0,0.4215,-0.0081,0.0,-0.7739,0.3072431754960374,0.0769230769230769,0.7692307692307693,0.1538461538461538,11.0,0.31,0.038,0.0,0.0,0.0980702695916442,1.0,0.9395,1.0,0.69,0.1098091779204068,10.0,0.13,0.0225,0.0,0.0,0.0481461894188476,2.0,0.0806451612903225,-1.3704888076747412,-1,-1
2015-01-02 19:00:00,TSLA,215.9,215.94,213.92,215.54,430534.0,0.0,0.5574,0.0018,0.0,-0.6486,0.4267773993212721,0.2142857142857142,0.5714285714285714,0.2142857142857142,2.0,0.323,0.1013749999999999,0.0435,0.0,0.1259795193105382,1.0,0.798625,0.77,0.598,0.1419677402993873,8.0,0.248,0.1,0.063,0.0,0.1136598936677816,0.0,0.1025641025641025,-0.16674386289949883,-1,0
2015-01-02 20:00:00,TSLA,215.5,216.85,215.0,215.83,410296.0,14.0,0.8217,0.119895,0.0,-0.296,0.2929212566633961,0.1290322580645161,0.6451612903225806,0.2258064516129032,19.0,0.17,0.03185,0.0,0.0,0.0538460524868913,1.0,0.8926999999999999,0.919,0.566,0.1326285275338208,20.0,0.318,0.0754499999999999,0.0,0.0,0.1161063373763351,3.0,0.2272727272727272,0.1345457919643689,1,0
2015-01-02 21:00:00,TSLA,215.933,216.666,215.29,215.97,280002.0,1.0,0.6705,0.17806,0.0,-0.6369,0.3432281327963329,0.0434782608695652,0.6521739130434783,0.3043478260869565,5.0,0.483,0.0385999999999999,0.0,0.0,0.1254009569341478,1.0,0.8551333333333333,0.823,0.517,0.1565808174105384,15.0,0.315,0.1062666666666666,0.0,0.0,0.1245984789328543,0.0,0.1041666666666666,0.06486586665430671,1,0
2015-01-02 22:00:00,TSLA,215.96,218.28,215.96,218.08,332427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.9769875445663878,1,1
2015-01-02 23:00:00,TSLA,218.0904,220.0,217.085,219.19,646863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175438596491228,0.5089875275128275,1,1
2015-01-05 17:00:00,TSLA,214.55,216.5,211.2,213.17,977685.0,2.0,0.883,0.2558434782608695,0.296,-0.2263,0.2902322781780874,0.0277777777777777,0.6388888888888888,0.3333333333333333,24.0,0.083,0.0060869565217391,0.0,0.0,0.0205446587694361,1.0,0.9021304347826088,0.909,0.533,0.1158197283979115,23.0,0.41,0.0917826086956521,0.091,0.0,0.109707444233097,6.0,0.1059907834101382,-2.746475660385972,-1,-1
2015-01-05 18:00:00,TSLA,213.0,213.3899,210.4,210.42,898243.0,2.0,0.6688,0.1072290322580645,0.0,-0.6908,0.3029658937829453,0.0681818181818181,0.7045454545454546,0.2272727272727272,34.0,0.217,0.0156129032258064,0.0,0.0,0.0500604151130443,1.0,0.9257741935483872,1.0,0.728,0.0933358486604225,31.0,0.272,0.0586129032258064,0.0,0.0,0.0851515031847568,4.0,0.2,-1.2900501946803034,-1,-1
2015-01-05 19:00:00,TSLA,210.5,212.1,209.77,210.1725,624505.0,1.0,0.8519,0.2066333333333333,0.148,-0.5574,0.375854293769444,0.0769230769230769,0.6153846153846154,0.3076923076923077,10.0,0.348,0.0396666666666666,0.0,0.0,0.0959418604140556,1.0,0.8620416666666667,0.858,0.611,0.1293611322470234,24.0,0.341,0.0982916666666666,0.063,0.0,0.1116884171981673,2.0,0.1325966850828729,-0.11762189905901721,-1,0
2015-01-05 20:00:00,TSLA,210.245,210.4756,207.1626,207.48,558976.0,2.0,0.6468,0.2136923076923076,0.2732,-0.4939,0.3188527571924551,0.0454545454545454,0.5909090909090909,0.3636363636363636,12.0,0.215,0.0449230769230769,0.0,0.0,0.0797887435027246,1.0,0.8413846153846154,0.858,0.519,0.1410753572040716,13.0,0.274,0.1136923076923077,0.13,0.0,0.1056727532017159,1.0,0.0878378378378378,-1.281090532776663,-1,-1
